,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,outputsAmount_mean,outputsAmount_median,outputsAmount_std,target
0,31865.0,16304400.0,10000.0,161990110.1128826,0.0,1620000000.0,1620000000.0,6232.8,753.0,14905.992403572249,225.0,73896.0,24931.2,3012.0,59623.969614289,900.0,295584.0,387570.57,386509.0,6142.126332463347,34.38,4.0,82.81862621708264,1.0,410.0,2.02,2.0,0.5856878887515967,1.0,5.0,1313290108.2,82382890.5,5182520120.121562,1296985708.2,82367890.5,5055408431.795956,0
1,8031.0,27788.597222222223,10000.0,66494.38973256246,0.0,450000.0,450000.0,2308.4166666666665,782.0,4998.409053226865,225.0,40228.0,9233.666666666666,3128.0,19993.63621290746,900.0,160912.0,350449.9166666667,350893.5,2096.7582070599365,9.38888888888889,2.0,28.14927790610921,1.0,223.0,17.90277777777778,2.0,29.10600331194567,1.0,70.0,121047803.81944443,3567693.0,304981800.264598,121020015.22222222,3552693.0,304977519.9028154,1
2,1919.0,167926.66666666666,67200.0,233815.646160246,1356.0,435224.0,433868.0,3122.6666666666665,223.0,5049.240569960331,192.0,8953.0,12490.666666666666,892.0,20196.96227984133,768.0,35812.0,154786.0,155016.0,964.7854683814428,17.333333333333332,1.0,28.290163190291665,1.0,50.0,1.3333333333333333,1.0,0.5773502691896257,1.0,2.0,1333763129.0,52420000.0,2264818576.9766383,1333595202.3333333,52352800.0,2264586726.028259,2
3,119799.0,249839.0456852792,40000.0,1402503.601860002,744.0,10000000.0,9999256.0,4060.10152284264,484.0,15577.683377120098,223.0,96799.0,15779.715736040607,1303.0,62296.39553189029,766.0,384919.0,122372.68527918782,121025.0,16144.404482176453,26.04568527918782,1.0,105.58386232677428,1.0,651.0,3.299492385786802,2.0,2.182174946266958,1.0,25.0,549079311.751269,12295467.0,1625851370.0156386,548829472.7055838,12283443.0,1625316536.7661488,1
4,4238.0,5135066.666666667,6120522.0,4338964.299814169,24034.0,9817000.0,9792966.0,49573.5,56165.0,43849.68890083486,393.0,97854.0,198294.0,224660.0,175398.75560333944,1572.0,391416.0,152913.0,152620.5,1746.5684069053814,331.5,372.5,300.59790418431066,1.0,663.0,17.5,4.5,23.813861509633416,1.0,57.0,3525227050.833333,1687865300.0,4839984081.843469,3520091984.1666665,1683758439.0,4839671192.455845,3
5,117940.0,1248242.076923077,318600.0,2748839.2535928525,1084.0,10000000.0,9998916.0,9661.53846153846,1228.0,25545.10418395726,226.0,93993.0,38570.69230769231,4912.0,102210.21087558116,670.0,375972.0,131844.76923076922,147504.0,46975.52889919362,63.38461538461539,4.0,173.85747920904373,1.0,637.0,8.692307692307692,2.0,15.35352628000386,1.0,52.0,2145050380.230769,676420563.0,3109776768.5553064,2143802138.1538465,676405779.0,3107683644.183998,3
6,98612.0,32563.666666666668,27000.0,35662.15288322715,2738.0,100000.0,97262.0,1689.3333333333333,364.5,3308.5932761018944,280.0,8442.0,6648.333333333333,1458.0,13291.044814711397,793.0,33768.0,90400.66666666669,62393.0,49151.98297390114,9.833333333333334,1.5,20.66317174749962,1.0,52.0,6.666666666666667,3.0,8.041558721209878,3.0,23.0,1421832856.0,6825662.5,3444084012.922299,1421800292.3333333,6822610.0,3444050928.010218,2
7,153368.0,1781464.4814814816,37150.0,6219486.140534298,748.0,32509232.0,32508484.0,4813.425925925926,374.0,11220.852085833112,189.0,49784.0,19246.14814814815,1492.0,44886.478661386966,756.0,199136.0,174877.38888888888,170304.0,28878.933152965667,25.444444444444443,1.0,66.47560672388161,1.0,290.0,30.90740740740741,2.0,56.69390454025518,1.0,301.0,3116045730.3703704,9457692.5,6562890926.232684,3114264265.888889,9437122.5,6558771001.3549385,3
8,31024.0,26025.0,6622.5,43737.48269913511,1130.0,121840.0,120710.0,5135.875,881.0,8889.882988744646,225.0,24576.0,20543.5,3524.0,35559.531954978585,900.0,98304.0,149872.0,153728.0,10937.24162143793,30.0,5.0,52.34228009663208,1.0,144.0,3.25,2.0,1.8322507626258084,2.0,6.0,22558025.75,3759376.0,43152432.05858143,22532000.75,3697891.0,43138574.04053799,4
9,3.0,56450.0,56450.0,61589.00064134829,12900.0,100000.0,87100.0,2464.5,2464.5,3120.462225376234,258.0,4671.0,9858.0,9858.0,12481.848901504936,1032.0,18684.0,153713.5,153713.5,20.50609665440988,14.5,14.5,19.091883092036785,1.0,28.0,9.5,9.5,9.192388155425116,3.0,16.0,3246292744.5,3246292744.5,4311659023.244002,3246236294.5,3246236294.5,4311597434.2433605,2
10,16946.0,1733867.0,513135.0,2674173.379853296,180800.0,5728398.0,5547598.0,8435.25,8464.0,6872.319907910768,225.0,16588.0,33741.0,33856.0,27489.279631643072,900.0,66352.0,162026.5,161885.5,9601.540588190344,50.25,45.5,48.72627627882106,1.0,109.0,7.0,5.5,5.944184833375669,2.0,15.0,4144544919.75,1017241596.5,6943269859.886137,4142811052.75,1014006297.5,6944075059.742934,2
