,age,EdType,maritalstatus,occupation,relationship,race,gender,capitalgain,capitalloss,hoursperweek,SalStat,target
0,45,0,0,0,0,0,0,0,0,28,0,0
1,24,0,1,1,1,0,1,0,0,40,0,1
2,44,1,2,2,2,0,1,0,0,40,1,0
3,27,2,1,3,3,0,1,0,0,40,0,0
4,20,1,1,4,0,0,1,0,0,35,0,0
5,44,0,3,5,4,1,0,0,0,40,0,0
6,51,0,2,3,2,2,1,0,0,40,0,0
7,20,0,2,6,2,0,1,0,0,40,0,0
8,17,3,1,7,1,0,0,0,0,5,0,2
9,19,0,1,6,1,1,0,0,0,40,0,0
10,45,1,2,3,2,0,1,0,0,55,1,3
11,60,0,2,3,2,0,1,0,0,40,1,0
12,44,0,2,4,5,0,0,0,0,40,1,4
13,40,4,2,6,2,3,1,0,0,40,1,0
14,30,0,2,5,5,0,0,0,0,40,0,0
15,38,1,2,8,2,1,1,0,0,50,0,0
16,23,0,2,8,2,0,1,0,0,60,0,0
17,32,1,2,7,2,0,1,0,0,40,0,2
18,44,5,1,9,1,0,1,0,0,40,0,0
19,54,0,2,8,2,1,1,0,0,40,0,5
20,32,6,2,2,2,0,1,0,0,50,0,0
21,50,7,4,3,4,0,1,0,0,40,0,0
22,24,6,1,10,0,0,0,0,0,20,0,0
23,37,0,2,0,5,0,0,0,0,60,0,0
24,52,0,0,8,4,0,1,0,0,40,0,0
25,38,1,2,8,2,0,1,0,0,40,0,0
26,49,8,2,5,2,0,1,0,1977,45,1,0
27,30,6,2,10,5,0,0,0,0,16,1,0
28,60,1,1,2,4,0,1,0,0,40,1,0
29,22,1,1,7,1,0,1,0,0,40,0,2
30,35,0,1,3,0,0,1,0,0,40,0,0
31,30,0,1,8,0,0,1,0,0,60,0,0
32,67,4,0,11,0,0,0,0,0,24,0,0
33,46,6,1,3,0,0,0,0,0,40,0,0
34,17,2,1,11,0,0,1,0,0,6,0,0
35,22,1,1,12,1,0,1,0,0,30,0,0
36,27,9,1,11,0,0,1,0,0,40,0,0
37,23,0,1,11,4,0,0,0,0,35,0,0
38,33,5,2,3,2,0,1,0,0,45,0,0
39,43,1,2,3,2,0,1,0,0,20,0,4
40,28,6,1,2,0,0,1,0,0,20,0,6
41,41,0,4,3,4,0,0,0,0,40,0,0
42,52,10,1,7,3,1,1,594,0,40,0,2
43,25,1,4,0,1,1,0,0,0,20,0,0
44,63,7,2,7,2,0,1,0,0,35,0,2
45,59,0,2,8,2,0,1,0,0,45,0,5
46,45,6,0,2,4,0,0,0,0,40,0,5
47,38,6,2,4,2,0,1,15024,0,60,1,0
48,40,0,1,11,0,0,0,0,0,35,0,0
49,46,0,0,0,0,0,1,0,0,40,0,1
50,35,5,1,5,0,0,0,0,0,60,0,0
51,34,0,0,2,4,0,0,0,0,25,0,0
52,33,6,1,3,1,0,1,0,0,20,0,0
53,41,0,0,0,4,0,0,0,0,36,0,0
54,20,1,1,6,1,0,1,0,0,40,0,0
55,23,11,1,11,1,0,1,0,0,40,0,0
56,26,1,1,2,0,0,0,0,0,35,0,0
57,72,0,2,7,2,0,1,0,0,20,0,2
58,23,0,1,9,0,0,1,0,0,40,0,5
59,62,0,2,8,2,0,1,0,0,40,0,5
60,52,1,2,0,2,0,1,0,0,40,0,0
61,58,1,0,11,4,0,0,0,0,42,0,0
62,25,6,1,4,0,0,0,0,0,40,0,0
63,24,6,1,5,0,1,1,0,0,40,0,0
64,19,1,1,13,1,0,1,0,0,8,0,0
65,43,1,2,5,2,0,1,0,0,40,0,0
66,47,0,5,0,4,1,0,0,0,40,0,5
67,39,0,0,11,4,0,0,0,0,40,0,0
68,49,4,4,12,4,0,1,0,1380,42,0,0
69,53,11,3,7,4,1,0,0,0,30,0,2
70,32,4,1,3,0,0,1,0,0,45,0,0
71,34,1,2,2,2,0,1,0,0,50,1,0
72,28,0,0,3,0,0,1,0,0,45,0,0
73,57,4,3,7,4,0,0,0,0,38,0,2
74,25,1,1,0,0,2,0,0,0,20,0,0
75,20,1,1,7,1,0,1,0,0,24,0,2
76,21,1,1,7,4,0,0,0,0,35,0,2
77,34,6,2,2,2,0,1,0,0,50,1,0
78,38,6,2,5,2,0,1,15024,0,80,1,3
79,50,0,2,5,2,0,1,7688,0,50,1,0
80,24,1,0,12,0,1,1,0,0,50,0,5
81,37,1,2,10,2,0,1,0,0,45,1,5
82,44,1,0,6,4,0,1,0,0,58,1,0
83,28,1,2,4,5,0,0,0,0,40,0,0
84,42,6,2,5,2,0,1,0,0,40,1,0
85,74,1,0,0,0,0,0,0,0,9,0,0
86,38,0,2,3,2,0,1,0,0,50,0,4
87,44,8,2,2,2,0,1,0,0,40,0,4
88,44,3,0,6,4,4,0,0,0,46,0,0
89,26,0,1,6,0,0,1,0,0,40,0,0
90,36,0,2,11,2,1,1,0,0,40,0,0
91,41,5,2,5,5,0,0,0,0,50,1,0
92,67,12,2,2,2,0,1,20051,0,48,1,0
93,39,10,2,10,2,0,1,0,0,50,0,5
94,57,7,3,14,0,1,0,0,0,30,0,0
95,29,4,5,3,0,0,1,0,0,40,0,0
96,31,6,1,9,0,0,0,0,0,45,0,3
97,34,0,1,7,4,1,0,0,0,40,0,2
98,44,1,2,8,2,0,1,0,0,40,0,0
99,29,13,1,2,1,0,1,0,0,40,0,0
100,30,1,1,12,4,0,0,0,0,40,0,0
