,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,target
0,569520,0,0,0,0,0,0,0.629027313918201,1.0,0,0.0,1.0,10238,12000.0,0,0,0,0,0
1,750365,1,1,0,0,1,1,0.3577571170184627,0.0,1,0.0,0.0,10238,16000.0,0,0,0,0,1
2,199901,1,0,0,0,0,2,0.4931457852181982,1.0,1,0.0,0.0,10238,11000.0,0,0,0,0,0
3,478866,1,1,0,0,2,2,0.2060128507324556,1.0,1,0.0,1.0,32765,11000.0,0,0,0,0,0
4,731664,2,1,0,1,1,2,0.3883658881572184,1.0,1,0.0,0.0,32765,12000.0,0,2,0,1,1
5,877557,3,0,0,2,0,0,0.6191273725847388,1.0,0,0.0,1.0,10238,13000.0,0,3,0,3,0
6,930134,0,1,0,3,0,0,0.4929435502195342,0.0,0,1.0,1.0,10238,13000.0,0,7,0,3,0
7,461006,2,0,0,0,2,2,0.468689297434465,0.0,0,0.0,1.0,10238,14000.0,0,0,0,0,1
8,68366,3,0,0,2,2,2,0.5218149362971065,0.0,1,1.0,0.0,10238,13000.0,0,0,0,0,0
9,445911,3,0,0,0,0,0,0.5615310319383646,1.0,1,0.0,1.0,32765,11000.0,0,0,0,0,1
10,275820,0,1,0,3,0,0,0.6203612640126029,1.0,0,1.0,1.0,10238,10000.0,0,6,2,7,0
11,521399,0,0,0,3,0,0,0.7298308815593941,1.0,0,1.0,0.0,32765,12000.0,0,4,0,0,0
12,429728,3,1,0,2,0,0,0.6370447435902447,1.0,1,1.0,1.0,10238,8000.0,0,4,1,2,0
14,980181,2,1,0,1,0,3,0.4615679630439447,1.0,1,1.0,1.0,10238,12000.0,0,0,2,1,0
19,240658,1,0,0,0,0,2,0.4177139816231188,1.0,1,0.0,1.0,10238,18000.0,0,0,0,0,1
20,484399,1,0,0,0,0,2,0.4095135306516067,0.0,1,0.0,0.0,10238,17000.0,0,0,0,0,1
21,912828,1,1,0,0,0,3,0.5532600531952381,1.0,0,1.0,1.0,32765,8000.0,0,0,0,0,1
22,892754,3,1,0,2,1,1,0.3309502618581893,1.0,1,1.0,1.0,10238,13000.0,0,3,1,1,0
24,633896,0,1,0,3,0,0,0.5006306604427161,1.0,1,1.0,1.0,32765,7000.0,0,13,2,3,0
25,193110,2,0,0,1,2,3,0.5519701813636283,1.0,1,1.0,0.0,10238,14000.0,1,0,0,0,0
26,98515,3,1,0,1,0,3,0.6269960497386653,1.0,1,0.0,0.0,10238,13000.0,0,1,1,0,0
27,165623,2,1,0,1,1,1,0.2947974807719967,1.0,1,1.0,0.0,10238,15000.0,0,0,0,1,0
28,493590,2,1,0,1,2,3,0.5519504952618395,0.0,0,0.0,0.0,10238,17000.0,0,0,0,1,0
29,389792,0,1,0,0,2,0,0.649820471216227,1.0,0,1.0,1.0,32765,9000.0,0,0,0,0,1
30,642614,3,1,0,2,0,3,0.5218044346397632,1.0,0,1.0,1.0,92101,7000.0,0,2,0,1,0
31,951465,0,0,0,3,2,0,0.7012683240604196,1.0,1,1.0,1.0,10238,10000.0,0,3,1,1,0
32,496987,1,1,0,0,1,1,0.1712440288213211,1.0,1,1.0,1.0,10238,9000.0,0,0,0,0,0
33,732437,1,1,0,0,1,1,0.3184419972124171,1.0,1,0.0,1.0,32765,10000.0,0,0,0,0,1
34,146897,2,0,0,0,0,3,0.6046842696715551,1.0,1,1.0,1.0,21217,11000.0,0,0,0,0,1
35,316173,1,1,0,0,2,2,0.5049948526440377,0.0,0,0.0,0.0,32765,8000.0,0,0,0,0,1
36,9013,2,1,0,1,0,2,0.6251466352816216,1.0,1,0.0,1.0,10238,17000.0,0,3,0,2,0
39,485660,3,1,0,1,2,0,0.5781305873212035,1.0,1,0.0,1.0,92101,14000.0,0,1,0,1,0
40,80496,0,1,0,3,0,0,0.7054542902137054,1.0,1,1.0,1.0,10238,10000.0,0,5,1,3,0
41,478336,3,1,0,2,2,0,0.6595254905875941,1.0,0,0.0,1.0,10238,16000.0,0,4,0,2,0
42,10843,3,1,0,2,2,0,0.5873836120460223,0.0,0,1.0,1.0,32765,9000.0,0,10,2,0,0
43,397446,1,1,0,0,1,1,0.4064824253974476,0.0,1,0.0,0.0,10238,16000.0,0,0,0,0,1
44,101678,2,0,0,1,0,1,0.2857471319596469,0.0,1,0.0,1.0,10238,13000.0,0,1,0,0,1
45,231661,3,1,0,2,0,3,0.5022849652731057,0.0,1,0.0,0.0,10238,14000.0,1,3,0,4,0
46,173782,0,1,0,2,0,0,0.6256257210210231,1.0,0,1.0,1.0,10238,7000.0,0,7,0,5,0
48,98839,2,0,1,1,2,2,0.3931531299744003,1.0,1,0.0,1.0,32765,12000.0,0,1,0,0,0
49,105372,2,0,1,1,1,2,0.5039497598168121,0.0,1,0.0,1.0,10238,14000.0,0,1,0,0,0
50,888828,3,1,0,2,2,0,0.6586274302571438,1.0,1,1.0,0.0,10238,14000.0,0,3,0,2,0
51,37454,2,0,0,0,0,2,0.5241464657501199,0.0,1,0.0,0.0,10238,17000.0,0,0,0,0,1
52,370044,0,1,0,2,2,0,0.5531007570628673,0.0,0,1.0,1.0,32765,7000.0,0,9,0,1,0
53,768282,1,0,0,0,2,2,0.4475509489142775,0.0,1,1.0,1.0,10238,8000.0,0,0,0,0,1
54,738729,1,0,0,0,1,2,0.5107331365064207,1.0,1,1.0,1.0,10238,7000.0,0,0,0,0,1
56,329536,1,0,0,0,0,1,0.4613735917269193,0.0,1,0.0,0.0,32765,9000.0,0,0,0,0,1
57,328531,3,0,0,2,2,3,0.3875569443647317,0.0,0,0.0,1.0,32765,12000.0,0,2,0,1,0
59,131881,2,1,0,1,2,2,0.5501250875743224,1.0,1,0.0,0.0,10238,16000.0,0,0,1,0,0
60,839572,3,1,0,2,0,2,0.4529442316093683,0.0,1,1.0,1.0,10238,12000.0,0,3,0,1,0
62,589757,3,0,0,2,0,0,0.5352743096602144,1.0,1,1.0,1.0,92101,7000.0,0,2,0,0,0
63,336859,1,0,0,0,2,3,0.6147359485632915,1.0,1,0.0,1.0,10238,15000.0,0,0,0,0,1
66,367026,3,0,1,1,0,2,0.5326613280250595,1.0,1,1.0,1.0,10238,11000.0,0,0,0,0,0
67,334687,3,0,1,0,2,3,0.4277285143019345,1.0,1,0.0,0.0,10238,15000.0,0,0,0,0,1
68,623367,0,1,0,2,2,0,0.6859457213719147,1.0,1,1.0,1.0,32765,5000.0,0,4,1,4,0
69,688440,0,1,0,1,2,0,0.6936124267187082,1.0,1,1.0,1.0,10238,10000.0,0,2,0,0,0
70,547974,0,1,0,2,0,0,0.5979905963582334,0.0,1,1.0,1.0,10238,12000.0,0,2,1,7,1
71,989064,2,1,0,0,1,1,0.3308186664986927,0.0,0,1.0,1.0,10238,12000.0,0,0,0,0,1
74,675898,1,1,0,0,0,3,0.5083042183803546,1.0,1,0.0,1.0,10238,16000.0,0,0,0,0,0
75,480452,2,0,0,0,2,0,0.7641329165005233,1.0,1,1.0,1.0,10238,12000.0,0,0,0,0,0
76,93199,3,0,0,0,2,3,0.4775169603837716,1.0,0,1.0,1.0,10238,14000.0,0,0,0,0,0
77,125802,3,0,0,2,2,0,0.6812332078486962,1.0,1,1.0,1.0,10238,10000.0,0,0,0,1,0
78,616663,3,1,0,0,2,0,0.4671555457007022,1.0,0,0.0,0.0,10238,16000.0,0,0,0,0,0
79,423497,1,0,0,0,0,2,0.3941632454999797,1.0,1,0.0,0.0,10238,16000.0,0,0,0,0,1
80,492837,3,0,0,1,2,0,0.6610607322734078,1.0,0,1.0,1.0,10238,14000.0,0,0,0,0,0
81,422563,3,1,0,2,2,0,0.6651879748430346,0.0,1,0.0,1.0,10238,14000.0,0,2,0,1,0
82,185231,1,0,0,0,0,3,0.560770206632082,1.0,1,0.0,1.0,10238,11000.0,0,0,0,0,0
83,949152,2,0,0,1,2,0,0.7454327103696547,0.0,0,0.0,0.0,32765,9000.0,0,0,0,0,0
84,859453,2,1,0,1,2,3,0.53257435224505,1.0,1,1.0,1.0,10238,13000.0,0,1,0,2,0
85,466578,2,0,0,1,0,3,0.5267473391434415,1.0,0,0.0,1.0,10238,14000.0,0,0,0,0,0
86,998214,1,0,1,0,1,1,0.4124517461654282,0.0,1,0.0,0.0,10238,14000.0,0,0,0,0,1
87,828462,3,1,0,2,0,2,0.3871071449018297,0.0,1,0.0,1.0,10238,16000.0,0,0,0,6,0
88,511837,0,1,0,1,0,3,0.5499938678343249,1.0,1,1.0,1.0,32765,9000.0,0,3,1,1,0
89,554995,1,1,0,0,2,0,0.5853420947575604,1.0,1,1.0,1.0,10238,12000.0,1,0,0,0,1
90,680717,0,1,0,3,1,3,0.5987396054343311,1.0,1,1.0,1.0,10238,14000.0,0,6,1,3,0
91,978021,3,1,0,2,2,0,0.6026557000791793,1.0,0,1.0,1.0,10238,7000.0,0,4,0,6,0
93,6676,3,0,0,2,0,0,0.5586591735288894,0.0,1,0.0,1.0,10238,15000.0,0,3,0,2,0
94,362280,3,1,0,1,0,2,0.6284070137170304,0.0,1,0.0,0.0,10238,13000.0,0,0,0,0,1
95,883018,3,1,0,0,0,2,0.5057903732571783,1.0,1,0.0,1.0,10238,13000.0,0,0,0,0,0
96,889355,2,0,0,1,2,0,0.7268184180645275,1.0,1,1.0,1.0,10238,15000.0,0,2,0,0,0
97,198273,0,1,0,2,2,0,0.6904423335733175,1.0,0,1.0,1.0,32765,9000.0,0,8,0,2,0
98,197763,3,1,0,2,2,0,0.4796771646619314,0.0,0,1.0,0.0,10238,14000.0,0,1,0,2,0
100,545941,3,0,0,2,1,2,0.4405592041968235,1.0,0,1.0,1.0,10238,11000.0,0,1,0,2,0
103,320444,2,1,0,0,1,1,0.3086490182004943,0.0,1,0.0,1.0,10238,14000.0,0,0,0,0,0
104,305793,1,1,0,0,0,1,0.2458351852340737,0.0,1,1.0,1.0,10238,11000.0,0,0,0,0,1
105,362190,1,1,0,0,0,1,0.3056465190413162,0.0,1,0.0,0.0,10238,14000.0,0,0,0,0,1
106,62647,2,1,0,1,0,0,0.7440140862681482,1.0,1,0.0,0.0,10238,13000.0,0,2,0,1,0
107,296948,3,1,0,1,2,0,0.6704645467899408,1.0,0,1.0,1.0,10238,14000.0,0,0,0,0,0
108,673660,0,0,0,3,0,0,0.6830407984824192,0.0,0,1.0,1.0,10238,10000.0,0,4,1,3,0
109,945867,1,1,0,0,2,3,0.828628569053192,1.0,1,0.0,0.0,10238,13000.0,0,0,0,0,1
111,241973,0,0,0,3,0,0,0.6293380939717407,1.0,1,1.0,0.0,10238,11000.0,0,2,0,2,0
112,429503,1,1,0,0,0,1,0.28372421050714,0.0,1,0.0,1.0,10238,15000.0,0,0,0,0,1
113,810013,1,1,0,0,2,2,0.4576486815858435,1.0,0,0.0,0.0,10238,14000.0,1,0,0,0,1
114,663458,1,0,0,0,0,1,0.3049876423937953,0.0,1,0.0,0.0,10238,15000.0,0,0,0,0,1
115,879976,1,1,0,0,0,2,0.5517442884135392,0.0,1,1.0,1.0,32765,10000.0,0,0,0,0,1
116,418841,1,1,1,0,1,1,0.3186855562451054,1.0,1,1.0,0.0,32765,9000.0,0,0,0,0,1
117,542236,2,1,1,1,1,2,0.436944194154781,1.0,1,0.0,0.0,10238,12000.0,0,3,0,0,0
118,937573,3,1,0,1,2,0,0.6291939843221722,1.0,1,1.0,1.0,32765,7000.0,0,5,0,1,0
119,670850,1,1,0,0,2,2,0.4055600158887265,1.0,1,0.0,0.0,10238,17000.0,0,0,0,0,1
