,duration_ms,energy,key,mode,time_signature,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,valence,tempo,target
0,256080,0.968,7,0,4,0.0215,0.698,0.862,0.111,-11.012,0.0337,0.39,136.884,0
1,395442,0.97,2,1,4,0.00339,0.7240000000000001,0.8959999999999999,0.106,-8.415,0.0358,0.4320000000000001,136.868,0
2,391680,0.406,5,0,4,0.00433,0.8029999999999999,0.825,0.0948,-9.444,0.0608,0.0769,125.014,0
3,347840,0.00267,7,0,5,0.91,0.15,0.0287,0.125,-24.701,0.0434,0.105,135.65200000000002,0
4,181733,0.226,7,1,4,0.768,0.29,1.59e-06,0.105,-14.99,0.0385,0.47,98.348,0
5,147787,0.248,2,1,3,0.936,0.32,0.0585,0.181,-19.526,0.0499,0.768,86.745,0
6,106520,0.0526,7,1,4,0.746,0.0734,2.57e-05,0.144,-19.889,0.0346,0.23,78.884,0
7,79067,0.112,7,1,3,0.8590000000000001,0.378,0.0,0.471,-18.817,0.0345,0.5489999999999999,76.51899999999998,0
8,143133,0.205,7,1,4,0.971,0.297,0.7559999999999999,0.158,-19.04,0.0418,0.92,168.752,0
9,234333,0.0197,7,0,4,0.947,0.16,0.211,0.107,-22.972,0.0384,0.154,68.39,0
10,92040,0.176,4,0,5,0.752,0.256,0.00084,0.106,-16.049,0.0354,0.221,117.967,0
11,157960,0.188,4,0,3,0.95,0.387,0.163,0.298,-19.531,0.0514,0.7,75.329,0
12,176013,0.116,7,1,5,0.816,0.124,0.000407,0.0987,-20.61,0.0389,0.55,179.713,0
13,570493,0.0118,3,1,4,0.933,0.0715,0.0478,0.113,-21.741,0.0439,0.0369,78.96300000000002,0
14,143347,0.253,7,1,4,0.92,0.276,0.00395,0.306,-17.826,0.0361,0.589,61.457,0
15,159333,0.14,7,1,4,0.914,0.222,0.0,0.3670000000000001,-18.104,0.0487,0.5660000000000001,162.69,0
16,152733,0.122,7,1,3,0.722,0.209,0.747,0.223,-24.741,0.038,0.5760000000000001,80.917,0
17,160680,0.328,7,1,3,0.908,0.452,0.908,0.0671,-14.742,0.0391,0.895,135.648,0
18,144333,0.0235,7,1,4,0.921,0.208,3.2500000000000004e-05,0.311,-16.365,0.0384,0.226,131.707,0
19,180453,0.00111,7,1,3,0.97,0.228,0.00103,0.188,-22.499,0.0421,0.183,83.055,0
20,1242187,0.0577,7,0,4,0.732,0.0612,0.266,0.101,-18.858,0.0436,0.0643,56.179,0
21,158053,0.0327,2,0,4,0.212,0.271,0.0573,0.0769,-16.121,0.0397,0.077,106.111,0
22,455507,0.0363,5,0,4,0.7070000000000001,0.155,0.275,0.107,-17.326,0.0427,0.1369999999999999,107.989,0
23,522840,0.351,2,0,4,0.757,0.0776,0.6759999999999999,0.0877,-8.286,0.0328,0.12,79.828,0
24,84960,0.00347,9,0,4,0.7659999999999999,0.239,0.878,0.0967,-19.274,0.0455,0.279,62.692,0
25,132680,0.0477,9,1,4,0.954,0.179,0.8009999999999999,0.0878,-17.832,0.0405,0.1639999999999999,76.14,0
26,66400,0.296,5,1,3,0.795,0.157,0.883,0.0729,-11.373,0.0374,0.0944,132.796,0
27,65720,0.243,7,0,4,0.78,0.185,0.951,0.165,-13.608,0.0364,0.0412,107.247,0
28,78480,0.0274,7,1,4,0.916,0.204,0.775,0.124,-18.72,0.0401,0.366,74.74600000000002,0
29,137880,0.0106,7,1,3,0.889,0.174,0.601,0.1639999999999999,-20.382,0.0408,0.327,67.71600000000001,0
30,60053,0.174,2,1,3,0.6609999999999999,0.185,0.0688,0.0854,-11.407,0.0402,0.152,94.337,0
31,82840,0.0324,7,0,4,0.846,0.204,0.902,0.428,-17.951,0.0485,0.435,70.42,0
32,95960,0.0405,9,1,4,0.895,0.183,0.708,0.225,-26.267,0.035,0.312,64.749,0
33,51480,0.267,7,1,3,0.345,0.182,0.0477,0.195,-12.449000000000002,0.0497,0.194,71.042,0
34,168907,0.0007019999999999,0,0,4,0.868,0.154,0.958,0.142,-22.44,0.0472,0.37,108.548,0
35,142960,0.238,2,0,4,0.212,0.201,0.6990000000000001,0.106,-10.884,0.0413,0.0762,109.613,0
36,98307,0.0118,7,0,3,0.919,0.159,0.59,0.227,-17.66,0.0396,0.225,129.922,0
37,77000,0.162,11,0,4,0.872,0.222,0.909,0.177,-12.890999999999998,0.0391,0.351,113.589,0
38,122040,0.00667,2,0,3,0.782,0.184,0.951,0.112,-20.196,0.0396,0.153,72.332,0
39,144800,0.00997,2,0,4,0.894,0.218,0.79,0.112,-28.274,0.0449,0.13,70.764,0
40,150200,0.0129,9,0,3,0.95,0.172,0.983,0.071,-28.47300000000001,0.0487,0.192,123.487,0
41,210613,0.00654,5,1,4,0.97,0.148,0.905,0.039,-25.887,0.0449,0.166,66.541,0
42,67440,0.00104,2,0,4,0.454,0.185,0.906,0.114,-19.19400000000001,0.0417,0.0,64.072,0
43,149520,0.00268,9,0,3,0.752,0.16,0.838,0.321,-28.283,0.0557,0.291,129.411,0
44,100493,0.00399,2,0,4,0.949,0.215,0.951,0.243,-28.265,0.045,0.123,57.753,0
45,266907,0.0065099999999999,3,1,4,0.0631,0.0611,0.774,0.201,-23.685,0.0486,0.282,71.232,0
46,66200,0.112,7,1,4,0.926,0.154,0.967,0.206,-17.746,0.038,0.239,106.899,0
47,91707,0.0137,7,0,4,0.325,0.1639999999999999,0.0,0.0465,-22.579,0.0511,0.297,64.461,0
48,90173,0.208,2,0,4,0.291,0.203,0.0417,0.26,-11.063,0.0317,0.34,91.585,0
49,65280,0.00132,9,0,4,0.954,0.0878,0.922,0.129,-30.405,0.0493,0.499,60.484,0
