,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,3,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1
5,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
6,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
7,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
8,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0
9,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1
10,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1
11,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
12,1,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
14,0,2,0,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,2,1,1
15,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1
16,3,2,2,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0
